features,accuracy,f1_score,precision,recall
"('Age', 'Breed1', 'Quantity', 'Fee')",0.6135378459486496,0.611965211136042,0.6142254997633672,0.6135378459486496
"('PhotoAmt', 'Age', 'Breed1')",0.6132044014671557,0.6101723176940356,0.6151113644569891,0.6132044014671557
"('PhotoAmt', 'Age', 'Breed1', 'Quantity')",0.6132044014671557,0.6118090052692337,0.6137533690063224,0.6132044014671557
"('Age', 'Breed1', 'Color2', 'Breed2', 'Quantity')",0.6118706235411804,0.6106240419909793,0.6122940535912044,0.6118706235411804
"('Age', 'Breed1', 'Color2', 'Color1', 'MaturitySize')",0.6118706235411804,0.6109567689202514,0.6120761307169598,0.6118706235411805
"('Age', 'Breed1', 'Color1', 'State', 'MaturitySize')",0.6118706235411804,0.6096889983370338,0.6130060933028382,0.6118706235411804
"('PhotoAmt', 'Age', 'Breed1', 'Color1', 'MaturitySize')",0.6118706235411804,0.6105940236131601,0.612314914363337,0.6118706235411804
"('PhotoAmt', 'Age', 'Breed1', 'State', 'Fee')",0.6112037345781928,0.609286164750037,0.6121126976426222,0.6112037345781928
"('Age', 'Breed1', 'Color1', 'MaturitySize')",0.6112037345781928,0.6083851378434375,0.6128537686849193,0.6112037345781928
"('Age', 'Breed1', 'Color2', 'State')",0.6108702900966989,0.6083338881166511,0.6122711807419734,0.6108702900966989
"('Age', 'Breed1', 'Breed2', 'Fee')",0.6108702900966989,0.6081163146735519,0.6124542550155258,0.6108702900966989
"('Age', 'Breed1', 'Breed2')",0.610536845615205,0.6083079629949306,0.6116768149244404,0.610536845615205
"('Age', 'Breed1', 'Color1')",0.6092030676892297,0.6051805565002027,0.6118321355704012,0.6092030676892297
"('Age', 'Breed1', 'Color2', 'Fee')",0.6085361787262421,0.6048762629085616,0.6108132729372788,0.6085361787262421
"('Age', 'Breed1', 'Color2', 'Quantity')",0.6085361787262421,0.6075082915460559,0.6087774024948326,0.6085361787262421
"('PhotoAmt', 'Age', 'Breed1', 'Color2', 'Breed2')",0.6085361787262421,0.6081500719189281,0.6084664706228073,0.6085361787262421
"('PhotoAmt', 'Age', 'Breed1', 'Color2', 'State')",0.6085361787262421,0.6078772809532313,0.6085752019232029,0.6085361787262421
"('Age', 'Breed1', 'Color2', 'Breed2')",0.6082027342447482,0.606505146507673,0.608886264805788,0.6082027342447482
"('Age', 'Breed1', 'Color1', 'State', 'Quantity')",0.6078692897632544,0.6068935428989599,0.6080726629874179,0.6078692897632544
"('Age', 'Breed1', 'Color2', 'Breed2', 'MaturitySize')",0.6075358452817606,0.6059046729019033,0.608160093587629,0.6075358452817606
"('Age', 'Breed1', 'Color2', 'Breed2', 'Fee')",0.6072024008002668,0.6056209216129927,0.6077862423643665,0.6072024008002668
"('Age', 'Breed1', 'Color2', 'Color1', 'Fee')",0.6068689563187729,0.6052350121931555,0.60748328863824,0.6068689563187729
"('PhotoAmt', 'Age', 'Breed1', 'Color2', 'MaturitySize')",0.6062020673557853,0.6049523737572376,0.6065520809224232,0.6062020673557853
"('Age', 'Breed1', 'Color1', 'Breed2', 'MaturitySize')",0.6062020673557853,0.6041649954092558,0.6070906665143456,0.6062020673557853
"('Age', 'Breed2', 'Quantity')",0.6058686228742914,0.6050902994551318,0.6059473048511814,0.6058686228742914
"('PhotoAmt', 'Age', 'Breed1', 'Color1', 'Breed2')",0.6058686228742914,0.6049919488992672,0.6059979699528648,0.6058686228742914
